202001;1797.06462997172;624204;167788;84044;28700;904737;1
202001;64.8889;586641;184784;120835;34024;926284;2
202001;1861.95352997172;622895;168381;85327;28885;905487;3
202002;1801.36216307044;624608;139342;81133;24933;870017;1
202002;65.8147;571856;149816;118333;36217;876222;2
202002;1867.17686307044;622749;139711;82444;25331;870236;3
202003;1763.08657428027;624685;153769;82848;26509;887811;1
202003;63.6582;572882;166562;130871;36261;906575;2
202003;1826.74477428027;622880;154215;84522;26849;888465;3
202004;1832.32103684301;644550;293962;79568;81050;1099130;1
202004;64.8308;595136;333215;119271;87957;1135579;2
202004;1897.15183684301;642861;295303;80925;81286;1100375;3
202005;1838.35131749263;646117;180371;83130;29650;939267;1
202005;68.5362648300929;600336;194972;113718;37251;946277;2
202005;1906.88758232273;644471;180896;84230;29923;939519;3
202006;1884.39946218196;644014;163441;76484;18613;902552;1
202006;66.7015;599002;181408;115205;17610;913226;2
202006;1951.10096218196;642476;164055;77808;18579;902917;3
